Here is a step-by-step outline of how you can solve this problem:

1. Initialize an empty array `diffs` to store the differences between the guesses and the scores.
2. Iterate over the indices of the `game` and `guess` arrays.
3. For each index, calculate the absolute difference between the corresponding elements in the `game` and `guess` arrays.
4. If the difference is 0, append 0 to the `diffs` array. If the difference is not 0, append the difference to the `diffs` array.
5. Return the `diffs` array.

Here is the Julia code that implements the above steps:

```julia
function compare(game::Vector{Int}, guess::Vector{Int})::Vector{Int}
    diffs = Int[]
    for i in 1:length(game)
        diff = abs(game[i] - guess[i])
        if diff == 0
            push_val = 0
        else
            push_val = diff
        end
        push_val = diff == 0 ? 0 : diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
        push_val = diff
